Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 0603","C_0603_1608Metric",-131.200000,-61.100000,90.000000,bottom
"C2","100nF 0603","C_0603_1608Metric",-146.700000,-61.100000,90.000000,bottom
"C3","100nF 0603","C_0603_1608Metric",-162.200000,-61.100000,90.000000,bottom
"C4","100nF 0603","C_0603_1608Metric",-121.000000,-86.400000,270.000000,bottom
"C5","100nF 0603","C_0603_1608Metric",-136.500000,-86.400000,270.000000,bottom
"C6","100nF 0603","C_0603_1608Metric",-152.000000,-86.400000,270.000000,bottom
"C7","100nF 0603","C_0603_1608Metric",-166.100000,-78.500000,0.000000,bottom
"R1","10k 0603","R_0603_1608Metric",-131.200000,-67.700000,90.000000,bottom
"R2","1k 0603","R_0603_1608Metric",-131.200000,-64.400000,270.000000,bottom
"R3","10k 0603","R_0603_1608Metric",-146.700000,-67.700000,90.000000,bottom
"R4","1k 0603","R_0603_1608Metric",-146.700000,-64.400000,270.000000,bottom
"R5","10k 0603","R_0603_1608Metric",-162.200000,-67.700000,90.000000,bottom
"R6","1k 0603","R_0603_1608Metric",-162.200000,-64.400000,270.000000,bottom
"R7","10k 0603","R_0603_1608Metric",-121.000000,-80.000000,270.000000,bottom
"R8","1k 0603","R_0603_1608Metric",-121.000000,-83.200000,90.000000,bottom
"R9","10k 0603","R_0603_1608Metric",-136.500000,-80.000000,270.000000,bottom
"R10","1k 0603","R_0603_1608Metric",-136.500000,-83.200000,90.000000,bottom
"R11","10k 0603","R_0603_1608Metric",-152.000000,-80.000000,270.000000,bottom
"R12","1k 0603","R_0603_1608Metric",-152.000000,-83.200000,90.000000,bottom
"U1","74HC14D","SOIC-14_3.9x8.7mm_P1.27mm",-167.900000,-83.900000,180.000000,bottom
